Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Үнэ
Паркет,1тагттай,2020,Байхгүй,Вакум,16,Төмөр,139.2м²,15,Лизинггүй,Баянзүрх,5,Бусад,"3,3сая"
Паркет,1тагттай,2020,Байхгүй,Вакум,16,Бүргэд,54.0м²,4,Лизинггүй,Хан-Уул,2,Яармаг,"2,8сая"
Паркет,1тагттай,2020,Байгаа,Вакум,18,Бүргэд,120.0м²,11,Лизинггүй,Хан-Уул,4,Бусад,620сая
Паркет,Тагтгүй,2020,Байгаа,Вакум,15,Бүргэд,62.8м²,3,Лизинггүй,Баянзүрх,4,Офицер,2сая
Паркет,2тагттай,2021,Байгаа,Вакум,12,Бүргэд,108.0м²,1,Лизинггүй,Хан-Уул,6,RiverGarden,"3,5сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,17,Бүргэд,72.53м²,12,Лизинггүй,Хан-Уул,5,Яармаг,"3,2сая"
Паркет,2тагттай,2021,Байхгүй,Вакум,16,Бүргэд,48.73м²,10,Лизинггүй,Хан-Уул,4,Бусад,"2,75сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,7,Бүргэд,50.56м²,2,Лизинггүй,Хан-Уул,3,Яармаг,"1,7сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,17,Бүргэд,83.13м²,14,Лизинггүй,Хан-Уул,4,Яармаг,"3,1сая"
Паркет,1тагттай,1989,Байхгүй,Мод,9,Бүргэд,29.0м²,5,Лизинггүй,Сүхбаатар,3,220мянгат,130сая
Ламинат,1тагттай,2021,Байхгүй,Вакум,15,Төмөр,62.98м²,8,Лизинггүй,Сүхбаатар,3,Дөлгөөннуур,"122,81сая"
Паркет,1тагттай,2009,Байгаа,Вакум,12,Бүргэд,39.0м²,2,Лизинггүй,Баянзүрх,2,Офицер,69сая
Паркет,1тагттай,2014,Байхгүй,Вакум,12,Бүргэд,39.53м²,4,Лизинггүй,Баянзүрх,3,16-рхороолол,74сая
Паркет,1тагттай,2020,Байгаа,Вакум,12,Бүргэд,49.3м²,5,Лизинггүй,Баянзүрх,3,Бусад,76сая
Паркет,1тагттай,2010,Байхгүй,Вакум,6,Бүргэд,106.0м²,1,Лизинггүй,Хан-Уул,3,Бусад,247сая
Паркет,1тагттай,2020,Байхгүй,Вакум,16,Төмөрвакум,83.2м²,7,Лизинггүй,Хан-Уул,5,Нисэх,"2,2сая"
Паркет,1тагттай,2015,Байхгүй,Вакум,16,Бүргэд,56.71м²,15,Лизинггүй,СонгиноХайрхан,2,21-рхороолол,96сая
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,47.0м²,12,Хувьлизингтэй,Хан-Уул,2,Бусад,2сая
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,80.0м²,7,Лизинггүй,Хан-Уул,3,Яармаг,150сая
Паркет,1тагттай,2021,Байхгүй,Вакум,7,Төмөрвакум,49.0м²,2,Лизинггүй,Хан-Уул,2,Яармаг,"1,7сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,7,Төмөрвакум,49.14м²,2,Лизинггүй,Хан-Уул,2,Яармаг,"1,7сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,48.73м²,10,Лизинггүй,Хан-Уул,6,Бусад,"2,75сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,7,Төмөрвакум,49.0м²,2,Лизинггүй,Хан-Уул,2,Яармаг,"1,7сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,7,Бүргэд,49.14м²,2,Лизинггүй,Хан-Уул,2,Яармаг,"1,7сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,7,Төмөрвакум,49.14м²,2,Лизинггүй,Хан-Уул,2,Яармаг,"1,7сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,7,Вакум,49.0м²,2,Лизинггүй,Хан-Уул,2,Яармаг,"1,7сая"
Паркет,1тагттай,2021,Байхгүй,Төмөрвакум,7,Төмөрвакум,49.14м²,2,Лизинггүй,Хан-Уул,2,Яармаг,"1,7сая"
Паркет,3+тагттай,2013,Байгаа,Вакум,6,Төмөрвакум,462.0м²,6,Лизинггүй,Хан-Уул,8,Зайсан,2000
Паркет,1тагттай,2021,Байхгүй,Вакум,7,Төмөрвакум,49.0м²,2,Лизинггүй,Хан-Уул,2,Яармаг,"1,6сая"
Паркет,2тагттай,2013,Байхгүй,Вакум,12,Бүргэд,83.62м²,3,Лизинггүй,Баянгол,4,Баруун4зам,"2,2сая"
Паркет,1тагттай,2016,Байхгүй,Вакум,7,Төмөрвакум,280.0м²,4,Лизинггүй,Хан-Уул,8,RiverGarden,"4,5сая"
